dataset_name,horizon,budget_ratio,num_rows,num_samples,union_over_terminal_budget,union_fraction_of_prefix,mean_terminal_set_recall_across_queries,terminal_selection_attention_recovery_across_round
aime2024,8,0.1,3360,4,2.662506617534031,0.27239443621807036,0.5615136233346198,0.8338674134089983
gsm8k,8,0.1,6720,8,2.7155317130619903,0.2780274992071397,0.5543244660753338,0.8370353811354139
math500,8,0.1,6720,8,2.6621601143040814,0.27294141463558597,0.5682012658894001,0.8478251205972667
