dataset_name,ranker,horizon,budget_ratio,frontier_ratio,num_rows,num_samples,prior_union_recall,frontier_miss_recall,frontier_missed_attention_share_recovered,prior_attention_recovery_across_round
aime2024,post_rope_endpoint_mean,8,0.1,0.01,3360,5,0.3539411723325726,0.06346143508846165,0.09229080223113681,0.8318412480146615
aime2024,post_rope_endpoint_mean,8,0.1,0.02,3360,5,0.3539411723325726,0.1090185415217466,0.15342614087946557,0.8318412480146615
aime2024,post_rope_endpoint_mean,8,0.1,0.05,3360,5,0.3539411723325726,0.22810000090130148,0.3018964018899813,0.8318412480146615
aime2024,post_rope_endpoint_mean,8,0.1,0.1,3360,5,0.3539411723325726,0.3812074075881218,0.4723159867105311,0.8318412480146615
aime2024,pre_rope_future_corrected_endpoint_mean,8,0.1,0.01,3360,5,0.35861053106620977,0.06402302649015318,0.0891802286325437,0.8257453050646142
aime2024,pre_rope_future_corrected_endpoint_mean,8,0.1,0.02,3360,5,0.35861053106620977,0.11114295933846195,0.1531062497086113,0.8257453050646142
aime2024,pre_rope_future_corrected_endpoint_mean,8,0.1,0.05,3360,5,0.35861053106620977,0.23124109806633347,0.2988930678300037,0.8257453050646142
aime2024,pre_rope_future_corrected_endpoint_mean,8,0.1,0.1,3360,5,0.35861053106620977,0.38574909001977853,0.47293412788247235,0.8257453050646142
aime2024,previous_terminal_attention,8,0.1,0.01,3360,5,0.3570606496306572,0.06265503436208979,0.08816671824962191,0.8316788869972731
aime2024,previous_terminal_attention,8,0.1,0.02,3360,5,0.3570606496306572,0.10860711532833942,0.1475183620915112,0.8316788869972731
aime2024,previous_terminal_attention,8,0.1,0.05,3360,5,0.3570606496306572,0.2257599890479689,0.29237917271581726,0.8316788869972731
aime2024,previous_terminal_attention,8,0.1,0.1,3360,5,0.3570606496306572,0.37456195252700447,0.45617228676389454,0.8316788869972731
gsm8k,post_rope_endpoint_mean,8,0.1,0.01,6720,8,0.35188936223748885,0.06242530197410655,0.0913199172244604,0.8433398012631871
gsm8k,post_rope_endpoint_mean,8,0.1,0.02,6720,8,0.35188936223748885,0.10756780067556895,0.15374152667659308,0.8433398012631871
gsm8k,post_rope_endpoint_mean,8,0.1,0.05,6720,8,0.35188936223748885,0.22666880924463417,0.3045811927714677,0.8433398012631871
gsm8k,post_rope_endpoint_mean,8,0.1,0.1,6720,8,0.35188936223748885,0.3789586959439804,0.47518154470597984,0.8433398012631871
gsm8k,pre_rope_future_corrected_endpoint_mean,8,0.1,0.01,6720,8,0.35381236379045244,0.06312370158541533,0.09039119173460926,0.8364242252738171
gsm8k,pre_rope_future_corrected_endpoint_mean,8,0.1,0.02,6720,8,0.35381236379045244,0.10937927186016448,0.1515535546948651,0.8364242252738171
gsm8k,pre_rope_future_corrected_endpoint_mean,8,0.1,0.05,6720,8,0.35381236379045244,0.22907012033081411,0.30198004778324194,0.8364242252738171
gsm8k,pre_rope_future_corrected_endpoint_mean,8,0.1,0.1,6720,8,0.35381236379045244,0.38329267164331926,0.4765596441285419,0.8364242252738171
gsm8k,previous_terminal_attention,8,0.1,0.01,6720,8,0.3475232392896167,0.05982330941804625,0.08572652161546036,0.8380063087908278
gsm8k,previous_terminal_attention,8,0.1,0.02,6720,8,0.3475232392896167,0.10349552024936738,0.14528590609606384,0.8380063087908278
gsm8k,previous_terminal_attention,8,0.1,0.05,6720,8,0.3475232392896167,0.216179872499854,0.2854355376245919,0.8380063087908278
gsm8k,previous_terminal_attention,8,0.1,0.1,6720,8,0.3475232392896167,0.3630305436953499,0.45205396878430704,0.8380063087908278
math500,post_rope_endpoint_mean,8,0.1,0.01,6720,8,0.3557494795478991,0.06360107175292835,0.09305393705223979,0.8471944633436389
math500,post_rope_endpoint_mean,8,0.1,0.02,6720,8,0.3557494795478991,0.11037797277631907,0.15719171155055453,0.8471944633436389
math500,post_rope_endpoint_mean,8,0.1,0.05,6720,8,0.3557494795478991,0.23097955914261364,0.30913841398932956,0.8471944633436389
math500,post_rope_endpoint_mean,8,0.1,0.1,6720,8,0.3557494795478991,0.38408281962650803,0.4790590517821973,0.8471944633436389
math500,pre_rope_future_corrected_endpoint_mean,8,0.1,0.01,6720,8,0.35824647675562005,0.06441988690709897,0.09093649486792281,0.8426673358867466
math500,pre_rope_future_corrected_endpoint_mean,8,0.1,0.02,6720,8,0.35824647675562005,0.11111805446558838,0.15269670256229415,0.8426673358867466
math500,pre_rope_future_corrected_endpoint_mean,8,0.1,0.05,6720,8,0.35824647675562005,0.23354730258624912,0.30632736983079295,0.8426673358867466
math500,pre_rope_future_corrected_endpoint_mean,8,0.1,0.1,6720,8,0.35824647675562005,0.3887433255750635,0.4807049377168443,0.8426673358867466
math500,previous_terminal_attention,8,0.1,0.01,6720,8,0.3571504312494603,0.0635204016700987,0.09007666945046454,0.8487271583747295
math500,previous_terminal_attention,8,0.1,0.02,6720,8,0.3571504312494603,0.10856812769624462,0.15009956329603463,0.8487271583747295
math500,previous_terminal_attention,8,0.1,0.05,6720,8,0.3571504312494603,0.22753637891197676,0.2967222225029022,0.8487271583747295
math500,previous_terminal_attention,8,0.1,0.1,6720,8,0.3571504312494603,0.37674159807436036,0.46398975085602934,0.8487271583747295
