method,label,result_source,update_ratio,mean_accepted_length,macro_by_sample_mean_accepted_length,full_acceptance_rate,zero_acceptance_rate,total_rounds,mean_max_update_pages,mean_actual_replacements_per_step,mean_total_replacements_per_round,mean_budget_pages,mean_selection_recall_of_oracle_b,mean_attention_recovery,macro_gain_recovery,better_than_static_samples,equal_to_static_samples,worse_than_static_samples,better_than_best_static_samples,equal_to_best_static_samples,worse_than_best_static_samples,better_than_oracle_b_samples,equal_to_oracle_b_samples,worse_than_oracle_b_samples
static,Static endpoint mean (reused),reused_reference,,4.765541740674956,4.893996031746032,0.27708703374777977,0.03019538188277087,563,,,,,,0.918347598781024,0.0,,,,,,,,,
best_static_oracle,Best Static Oracle (reused),reused_reference,,5.438492063492063,5.503717171717172,0.37103174603174605,0.023809523809523808,504,,,,,,0.9466252313276627,0.35798544163830387,,,,,,,,,
oracle_b,Oracle B (reused),reused_reference,,6.5418604651162795,6.59719696969697,0.6674418604651163,0.023255813953488372,430,,,,,,0.9916273325899041,1.0,,,,,,,,,
page_incremental_r0.01,Page Incremental 1%,current_run,0.01,6.285393258426966,6.412348484848485,0.5842696629213483,0.04044943820224719,445,1.0,0.9949468975040531,6.589007880774033,52.0,0.8283687665988853,0.966918347855396,0.8914699488887845,50,0,0,42,6,2,7,28,15
page_incremental_r0.05,Page Incremental 5%,current_run,0.05,6.334841628959276,6.472222222222222,0.6221719457013575,0.038461538461538464,442,3.0,2.89170510192461,19.149368401206637,52.0,0.8707305835968597,0.9765174198234734,0.9266236034222124,49,0,1,44,3,3,7,31,12
page_incremental_r0.1,Page Incremental 10%,current_run,0.1,6.351473922902494,6.484720779220779,0.6281179138321995,0.03854875283446712,441,6.0,5.291576467478281,34.989199499244144,52.0,0.9121509816361526,0.9824401784951818,0.9339618785018358,49,0,1,45,2,3,5,36,9
page_incremental_r0.2,Page Incremental 20%,current_run,0.2,6.440366972477064,6.534848484848485,0.6490825688073395,0.034403669724770644,436,11.0,7.8483940212103525,51.39258011595311,52.0,0.9512227515001416,0.9863385026625665,0.9633933475145368,49,1,0,44,4,2,7,33,10
