method,label,result_source,update_ratio,mean_accepted_length,macro_by_sample_mean_accepted_length,full_acceptance_rate,zero_acceptance_rate,total_rounds,mean_max_update_pages,mean_actual_replacements_per_step,mean_total_replacements_per_round,mean_budget_pages,mean_selection_recall_of_oracle_b,mean_attention_recovery,macro_gain_recovery,better_than_static_samples,equal_to_static_samples,worse_than_static_samples,better_than_best_static_samples,equal_to_best_static_samples,worse_than_best_static_samples,better_than_oracle_b_samples,equal_to_oracle_b_samples,worse_than_oracle_b_samples
static,Static endpoint mean (reused),reused_reference,,3.5555555555555554,3.73,0.2222222222222222,0.1111111111111111,18,,,,,,0.8894954213228009,0.0,,,,,,,,,
best_static_oracle,Best Static Oracle (reused),reused_reference,,4.1875,4.25,0.25,0.0625,16,,,,,,0.9160790656093636,0.1843971631205674,,,,,,,,,
oracle_b,Oracle B (reused),reused_reference,,6,6.55,0.3333333333333333,0.0,12,,,,,,0.9884275697907733,1.0,,,,,,,,,
page_incremental_r0.01,Page Incremental 1%,current_run,0.01,4.857142857142857,5.613333333333333,0.2857142857142857,0.07142857142857142,14,1.0,0.9780547752808989,6.217633928571429,52.0,0.8251667068604265,0.9481697104893532,0.6678486997635934,4,1,0,3,1,1,0,1,4
page_incremental_r0.05,Page Incremental 5%,current_run,0.05,5.384615384615385,6.28,0.3076923076923077,0.07692307692307693,13,3.0,2.748344638242894,18.181356837606838,52.0,0.8687221102585686,0.9628984162999499,0.9042553191489363,4,1,0,4,0,1,0,3,2
page_incremental_r0.1,Page Incremental 10%,current_run,0.1,5.384615384615385,6.28,0.3076923076923077,0.07692307692307693,13,6.0,4.933967215762274,32.64009081196581,52.0,0.9085056292087542,0.9723010368326624,0.9042553191489363,4,1,0,4,0,1,0,3,2
page_incremental_r0.2,Page Incremental 20%,current_run,0.2,5.384615384615385,6.28,0.3076923076923077,0.07692307692307693,13,11.0,7.393612726098191,48.91159188034188,52.0,0.94684795335837,0.9788763795516755,0.9042553191489363,4,1,0,4,0,1,0,3,2
