method,method_kind,update_ratio,absolute_update_limit,candidate_factor,mean_accepted_length,macro_by_sample_mean_accepted_length,full_acceptance_rate,zero_acceptance_rate,total_rounds,mean_actual_replacements_per_step,mean_total_replacements_per_round,mean_historical_token_budget,mean_candidate_recall,mean_candidate_tokens_per_step,mean_qk_similarity_evaluations_per_step,predictor_parameters,mlp_calls_per_step,oracle_b_gain_recovery
oracle_incremental_r0.01,oracle_incremental,0.01,0,0.0,6.648584905660377,6.707070707070707,0.7004716981132075,0.02122641509433962,424,8.859325044404974,58.818396226415096,822.5825471698113,1.0,7401.055575604475,0.0,0,0,
oracle_incremental_r0.02,oracle_incremental,0.02,0,0.0,6.594847775175644,6.6529040404040405,0.6791569086651054,0.01873536299765808,427,16.73708260105448,111.5152224824356,822.5971896955504,1.0,7401.27097465191,0.0,0,0,
oracle_incremental_r0.05,oracle_incremental,0.05,0,0.0,6.650943396226415,6.7090151515151515,0.6886792452830188,0.018867924528301886,424,41.06719828939109,274.29789046121596,822.5683962264151,1.0,7401.081808396125,0.0,0,0,
oracle_incremental_r0.1,oracle_incremental,0.1,0,0.0,6.653301886792453,6.708888888888889,0.6863207547169812,0.02122641509433962,424,78.93815196775724,523.5237814465409,822.5896226415094,1.0,7400.963471971067,0.0,0,0,
oracle_incremental_r0.2,oracle_incremental,0.2,0,0.0,6.705463182897862,6.762904040404041,0.7054631828978623,0.023752969121140142,421,123.95870736086177,820.0118764845606,822.5724465558195,1.0,7400.7248175182485,0.0,0,0,
