accepted_length,oracle_incremental_r0.01_rounds,oracle_incremental_r0.01_ratio,oracle_incremental_r0.02_rounds,oracle_incremental_r0.02_ratio,oracle_incremental_r0.05_rounds,oracle_incremental_r0.05_ratio,oracle_incremental_r0.1_rounds,oracle_incremental_r0.1_ratio,oracle_incremental_r0.2_rounds,oracle_incremental_r0.2_ratio
0,9,0.02122641509433962,8,0.01873536299765808,8,0.018867924528301886,9,0.02122641509433962,10,0.023752969121140142
1,19,0.04481132075471698,21,0.04918032786885246,20,0.04716981132075472,18,0.04245283018867924,22,0.052256532066508314
2,17,0.04009433962264151,17,0.03981264637002342,17,0.04009433962264151,15,0.03537735849056604,13,0.030878859857482184
3,20,0.04716981132075472,19,0.04449648711943794,16,0.03773584905660377,20,0.04716981132075472,13,0.030878859857482184
4,16,0.03773584905660377,19,0.04449648711943794,17,0.04009433962264151,15,0.03537735849056604,14,0.0332541567695962
5,18,0.04245283018867924,21,0.04918032786885246,19,0.04481132075471698,20,0.04716981132075472,17,0.040380047505938245
6,20,0.04716981132075472,21,0.04918032786885246,26,0.06132075471698113,27,0.06367924528301887,26,0.06175771971496437
7,8,0.018867924528301886,11,0.02576112412177986,9,0.02122641509433962,9,0.02122641509433962,9,0.021377672209026127
8,297,0.7004716981132075,290,0.6791569086651054,292,0.6886792452830188,291,0.6863207547169812,297,0.7054631828978623
