accepted_length,static_rounds,static_ratio,oracle_b_rounds,oracle_b_ratio
0,17,0.03019538188277087,10,0.023255813953488372
1,92,0.16341030195381884,25,0.05813953488372093
2,41,0.07282415630550622,14,0.03255813953488372
3,53,0.0941385435168739,19,0.044186046511627906
4,54,0.09591474245115453,19,0.044186046511627906
5,47,0.08348134991119005,14,0.03255813953488372
6,70,0.12433392539964476,33,0.07674418604651163
7,33,0.0586145648312611,9,0.020930232558139535
8,156,0.27708703374777977,287,0.6674418604651163
