sample_id,dataset_name,method,input_length,num_kv_pages,speculative_rounds,total_generated_tokens,total_accepted_draft_tokens,mean_accepted_length,full_accept_rounds,zero_accept_rounds,delta_mean_accepted_oracle_minus_static
musique-148,musique,static,8192,512,11,64,53,4.818181818181818,3,1,1.2929292929292924
musique-148,musique,oracle_b,8192,512,9,64,55,6.111111111111111,6,1,1.2929292929292924
musique-163,musique,static,8192,512,10,64,55,5.5,4,0,1.625
musique-163,musique,oracle_b,8192,512,8,64,57,7.125,6,0,1.625
musique-194,musique,static,8192,512,10,64,54,5.4,3,1,0.7111111111111104
musique-194,musique,oracle_b,8192,512,9,64,55,6.111111111111111,5,1,0.7111111111111104
musique-23,musique,static,8192,512,13,64,52,4,3,0,2.2222222222222223
musique-23,musique,oracle_b,8192,512,9,64,56,6.222222222222222,6,0,2.2222222222222223
musique-24,musique,static,8192,512,13,64,52,4,1,1,3.125
musique-24,musique,oracle_b,8192,512,8,64,57,7.125,6,0,3.125
musique-41,musique,static,8192,512,11,64,54,4.909090909090909,4,0,2.215909090909091
musique-41,musique,oracle_b,8192,512,8,64,57,7.125,6,0,2.215909090909091
musique-74,musique,static,8192,512,10,64,55,5.5,3,0,1.625
musique-74,musique,oracle_b,8192,512,8,64,57,7.125,7,0,1.625
musique-76,musique,static,8192,512,11,64,54,4.909090909090909,4,0,1.3131313131313131
musique-76,musique,oracle_b,8192,512,9,64,56,6.222222222222222,5,0,1.3131313131313131
musique-85,musique,static,8192,512,11,64,54,4.909090909090909,2,0,2.215909090909091
musique-85,musique,oracle_b,8192,512,8,64,57,7.125,6,0,2.215909090909091
qasper-118,qasper,static,8192,512,13,64,52,4,2,1,3.125
qasper-118,qasper,oracle_b,8192,512,8,64,57,7.125,6,0,3.125
qasper-13,qasper,static,8192,512,10,64,55,5.5,4,0,1.625
qasper-13,qasper,oracle_b,8192,512,8,64,57,7.125,7,0,1.625
qasper-15,qasper,static,8192,512,12,64,53,4.416666666666667,1,0,1.8055555555555554
qasper-15,qasper,oracle_b,8192,512,9,64,56,6.222222222222222,5,0,1.8055555555555554
qasper-16,qasper,static,8192,512,12,64,53,4.416666666666667,3,1,2.708333333333333
qasper-16,qasper,oracle_b,8192,512,8,64,57,7.125,4,0,2.708333333333333
qasper-178,qasper,static,8192,512,15,64,50,3.3333333333333335,2,2,2.1666666666666665
qasper-178,qasper,oracle_b,8192,512,10,64,55,5.5,5,0,2.1666666666666665
qasper-27,qasper,static,8192,512,12,64,53,4.416666666666667,4,0,1.8055555555555554
qasper-27,qasper,oracle_b,8192,512,9,64,56,6.222222222222222,6,0,1.8055555555555554
qasper-35,qasper,static,8192,512,10,64,55,5.5,4,0,0.7222222222222223
qasper-35,qasper,oracle_b,8192,512,9,64,56,6.222222222222222,5,0,0.7222222222222223
qasper-57,qasper,static,8192,512,10,64,55,5.5,4,0,1.625
qasper-57,qasper,oracle_b,8192,512,8,64,57,7.125,5,0,1.625
qasper-67,qasper,static,8192,512,10,64,55,5.5,4,0,1.625
qasper-67,qasper,oracle_b,8192,512,8,64,57,7.125,7,0,1.625
qasper-73,qasper,static,8192,512,11,64,54,4.909090909090909,4,0,2.215909090909091
qasper-73,qasper,oracle_b,8192,512,8,64,57,7.125,7,0,2.215909090909091
