accepted_length,static_rounds,static_ratio,oracle_b_rounds,oracle_b_ratio
0,2,0.1111111111111111,0,0.0
1,5,0.2777777777777778,0,0.0
2,2,0.1111111111111111,2,0.16666666666666666
3,0,0.0,1,0.08333333333333333
4,3,0.16666666666666666,0,0.0
5,1,0.05555555555555555,0,0.0
6,1,0.05555555555555555,2,0.16666666666666666
7,0,0.0,3,0.25
8,4,0.2222222222222222,4,0.3333333333333333
