sample_id,dataset_name,method,input_length,num_kv_pages,round_id,round_start_length,round_start_pages,budget_pages,draft_length,accepted_length,all_accepted,zero_accepted,generated_tokens_so_far,static_oracle_recall_pos_1,static_oracle_recall_pos_2,static_oracle_recall_pos_3,static_oracle_recall_pos_4,static_oracle_recall_pos_5,static_oracle_recall_pos_6,static_oracle_recall_pos_7,static_oracle_recall_pos_8,oracle_overlap_pos_1_2,oracle_overlap_pos_2_3,oracle_overlap_pos_3_4,oracle_overlap_pos_4_5,oracle_overlap_pos_5_6,oracle_overlap_pos_6_7,oracle_overlap_pos_7_8,oracle_overlap_pos_1_last,attention_recovery_pos_1,attention_recovery_pos_2,attention_recovery_pos_3,attention_recovery_pos_4,attention_recovery_pos_5,attention_recovery_pos_6,attention_recovery_pos_7,attention_recovery_pos_8
2wikimqa-83,2wikimqa,static,8192,512,1,8192,512,52,8,1,0,0,2,0.9483173076923078,0.7759915865384616,0.7344417735042735,0.7343583066239316,0.6813401442307693,0.6607238247863249,0.6694711538461539,0.6898370726495727,0.6473055808960644,0.6725604078241747,0.6126100842557402,0.5705135189928873,0.5816322680647513,0.7164157565289957,0.6635430311567421,0.5419629441077966,0.9892437892864923,0.8896878575350227,0.8349765466419405,0.7678214975197791,0.7297513735533543,0.7107652738602125,0.7190888871593875,0.7234378315202354
2wikimqa-83,2wikimqa,static,8192,512,2,8194,513,52,8,8,1,0,11,0.8466045673076923,0.7839877136752137,0.7724358974358974,0.7179654113247863,0.7834201388888888,0.7827190170940171,0.7810496794871794,0.7807992788461539,0.6287182072369218,0.6489132040372253,0.6253282297337788,0.6081933296679243,0.7101352477286369,0.7173445752633842,0.7127559160748,0.6107984626453262,0.9727067453581382,0.9582987840886796,0.9452161863090794,0.9016196396018636,0.9667973891867254,0.9693885415557768,0.9638040944081775,0.964716607432535
2wikimqa-83,2wikimqa,static,8192,512,3,8203,513,52,5,2,0,0,14,0.7801816239316239,0.713558360042735,0.7193175747863249,0.7117888621794872,0.7213374732905984,,,,0.5877518927751466,0.6477121460686056,0.6967975282216026,0.6265848462053998,,,,0.5825505221710838,0.9197294222749512,0.894166721003601,0.9041171179445817,0.9007011682746519,0.9087151312295282,,,
2wikimqa-83,2wikimqa,static,8192,512,4,8206,513,52,2,2,0,0,16,0.8702590811965812,0.7913327991452992,,,,,,,0.655970788093851,,,,,,,0.655970788093851,0.9770613242414979,0.9639142057336818,,,,,,
2wikimqa-83,2wikimqa,oracle_b,8192,512,1,8192,512,52,8,8,1,0,9,0.9467147435897435,0.7313868856837606,0.7515357905982906,0.7259448450854701,0.7192341079059829,0.6725928151709402,0.7183660523504273,0.7092180822649572,0.589022328219682,0.5897563935594206,0.628360891859375,0.6432402578938096,0.6338735959842096,0.6079026221124483,0.7130273671198896,0.5628553151711869,0.9917083501968903,0.9909969733021826,0.9904619917880115,0.9928784261787094,0.9899140187075375,0.985824810919095,0.9936793381714435,0.9948416571022144
2wikimqa-83,2wikimqa,oracle_b,8192,512,2,8201,513,52,7,7,0,0,16,0.8644664797008548,0.8103966346153846,0.7334067841880342,0.6909722222222222,0.7100694444444444,0.7060129540598291,0.7020065438034188,,0.7255390754263997,0.6372538479280604,0.5808354507535216,0.650353572967729,0.6264562921836652,0.6483051983606465,,0.548788897278556,0.994665205640805,0.9919393709803325,0.9876595724687766,0.9885850819273662,0.9882429528370211,0.9878818496812722,0.9900736905057956,
hotpotqa-141,hotpotqa,static,8192,512,1,8192,512,52,8,1,0,0,2,0.9406717414529915,0.7242254273504273,0.6309929220085471,0.6529280181623931,0.6243990384615384,0.6355836004273505,0.6066539797008548,0.5614316239316239,0.5778679546067279,0.5608351788837974,0.5278685046884437,0.5289672581038825,0.6388080469992645,0.5647356242215139,0.605901073771763,0.41350038523773247,0.9900625496201609,0.891721871929601,0.7876217686911962,0.7441378425528338,0.7494109954458608,0.7629652264187543,0.6825632823808649,0.6045280889402177
hotpotqa-141,hotpotqa,static,8192,512,2,8194,513,52,8,4,0,0,7,0.8141025641025641,0.7200854700854701,0.6963474893162394,0.6282885950854701,0.7099859775641026,0.7111712072649572,0.6849125267094016,0.6940771901709402,0.5541926049452256,0.571563324527887,0.5766987300158445,0.535899598356043,0.6421752671352853,0.6243827773171045,0.6568567534272999,0.5171055040318334,0.9775590555704539,0.9648969555823054,0.9410066115463223,0.8748780351369306,0.9672444544609218,0.9725743540219818,0.9423585596386135,0.9598981933540467
hotpotqa-141,hotpotqa,static,8192,512,3,8199,513,52,8,8,1,0,16,0.8406116452991452,0.775123530982906,0.7746728098290598,0.7320045405982906,0.6695880074786325,0.7464610042735043,0.7302851228632479,0.6830428685897436,0.6568931511439047,0.6647090317397937,0.6709046784540763,0.620879140910191,0.5640456044860143,0.6543708317544162,0.5921742551687649,0.5268831366027488,0.9897119326291786,0.9774389186393024,0.9829333012053498,0.9648377284979536,0.9043530677682227,0.9746996477452874,0.9770906562741091,0.9195739358523368
hotpotqa-141,hotpotqa,oracle_b,8192,512,1,8192,512,52,8,8,1,0,9,0.9400373931623931,0.6580194978632479,0.692608173076923,0.6587039262820513,0.6327791132478633,0.5835002670940171,0.6440471420940171,0.6366853632478633,0.5009292345446847,0.5165494707234584,0.5535109633903113,0.5664841791579831,0.592295647166903,0.5392322987919483,0.6419889571267455,0.48039767236130476,0.9919971455223153,0.9931960877747229,0.9919389382548705,0.9939708707711036,0.9929502010396168,0.9920258854458908,0.994579184181558,0.9956556820348221
hotpotqa-141,hotpotqa,oracle_b,8192,512,2,8201,513,52,7,7,0,0,16,0.8146367521367521,0.7516192574786325,0.6848123664529915,0.7552751068376069,0.743389423076923,0.6963808760683761,0.7357605502136751,,0.6721066838412493,0.6277324317383619,0.5677395691437216,0.6552682821036276,0.5937564170423092,0.5981791946504337,,0.6056062533827407,0.9955497266133898,0.9954695981870041,0.9931571705336473,0.9951353915025268,0.9959795492417091,0.9924875464517898,0.9952637522969832,
multifieldqa_en-114,multifieldqa_en,static,8192,512,1,8192,512,52,8,1,0,0,2,0.9464309561965811,0.8145866720085471,0.7228565705128206,0.7843716613247863,0.7207698985042735,0.7760082799145299,0.7101195245726495,0.7348591079059829,0.7057599756880945,0.6731574248216203,0.6234129819369858,0.6431116459327582,0.6474726392211491,0.6500729394080824,0.5957061590923866,0.6004057656244509,0.9867933190208772,0.889508266330936,0.788631123060637,0.7867863147855122,0.7298916341322256,0.7294505072376776,0.6661572712656483,0.7670217850850765
multifieldqa_en-114,multifieldqa_en,static,8192,512,2,8194,513,52,8,4,0,0,7,0.8742154113247863,0.8246360844017094,0.819778311965812,0.743339342948718,0.8238014155982906,0.8153879540598291,0.8257545405982906,0.7971587873931624,0.6897841177632632,0.7052279374327224,0.6520121342702149,0.6420168864773413,0.731165017141565,0.7261519532828042,0.7294463738729023,0.6660126096654099,0.9684101803639614,0.9526104213250736,0.9407082961520195,0.8524681105836601,0.9571843209184875,0.9472872028825619,0.9595517828670079,0.9301950096750318
multifieldqa_en-114,multifieldqa_en,static,8192,512,3,8199,513,52,8,8,1,0,16,0.8874031784188035,0.854316907051282,0.8688902243589743,0.8438668536324786,0.7908653846153846,0.7806657318376069,0.7786959134615384,0.7462272970085471,0.7668375515103183,0.7558390089962648,0.7780747424658533,0.7155071691786152,0.6901343624855036,0.7050158540649689,0.7413567113638745,0.6214607165714968,0.9784577088815722,0.9639324692182384,0.9724049579199809,0.9619448878433414,0.9164983537322465,0.9039652600418638,0.8936623144872546,0.8604978766583999
multifieldqa_en-114,multifieldqa_en,oracle_b,8192,512,1,8192,512,52,8,8,1,0,9,0.9465811965811967,0.7748063568376069,0.8137186164529915,0.7840377938034188,0.7793636485042735,0.7103031517094016,0.7811331463675214,0.7651575854700855,0.6529339855003037,0.649524304908303,0.695981062247897,0.6989728444449939,0.6561042443181186,0.6387323380641547,0.746494735028082,0.6340018559229562,0.9908457372945549,0.9885941221868114,0.9897913166931132,0.9925273465488154,0.9876148936206661,0.9816380954307041,0.9919592994590888,0.9904456100964184
multifieldqa_en-114,multifieldqa_en,oracle_b,8192,512,2,8201,513,52,7,7,0,0,16,0.8534989316239316,0.8389923878205128,0.787643563034188,0.7697148771367521,0.7664930555555556,0.7380308493589743,0.7658086271367521,,0.7410852734492633,0.7105801733990813,0.6819160360547551,0.6916226593508861,0.7336398836652955,0.7146792352041217,,0.6459660182400754,0.9888385328807527,0.9904169102474173,0.9851827542430134,0.9830550233725144,0.9844626038283705,0.9831759753199205,0.9865459266959715,
musique-23,musique,static,8192,512,1,8192,512,52,8,1,0,0,2,0.9437099358974359,0.7935697115384616,0.7444577991452992,0.7941038995726495,0.7158787393162394,0.7559929220085471,0.6969150641025641,0.7576789529914529,0.665973044843017,0.6865812354097218,0.638367308418143,0.6289792310041351,0.613871146975406,0.6034601206510629,0.6156628995272009,0.6206068366166129,0.9902631293522143,0.8934628624965478,0.8427891421634539,0.8197656429793875,0.7626150276604172,0.7427169455142277,0.7091892487623808,0.6999841256207303
musique-23,musique,static,8192,512,2,8194,513,52,8,4,0,0,7,0.8614950587606838,0.7969751602564102,0.7941038995726495,0.7363615117521367,0.8033520299145299,0.8039196047008548,0.7936030982905984,0.7965077457264957,0.6676502976946277,0.6785920159012753,0.6703012016992917,0.6387050374839421,0.7320871207449927,0.7269776010659046,0.7436147053001272,0.651733334198522,0.9761093405566034,0.9601569340057097,0.9491298862897707,0.8823494926653885,0.9686396670716064,0.9708638705417589,0.9602727170685466,0.9611866879171915
musique-23,musique,static,8192,512,3,8199,513,52,8,8,1,0,16,0.8863681891025641,0.847122061965812,0.8497262286324786,0.8240518162393162,0.7735710470085471,0.7724692841880342,0.7493155715811965,0.7306356837606838,0.7458093215222479,0.7475980840211035,0.7600568795556358,0.7033775807820862,0.743727955297644,0.6892447754703482,0.7148694779730735,0.5985000476899907,0.9886776943183538,0.9772598623945279,0.983456499827168,0.9649931052878649,0.9069559966191396,0.9111046461303859,0.8719642154893458,0.8541508209380686
musique-23,musique,oracle_b,8192,512,1,8192,512,52,8,6,0,0,7,0.944828392094017,0.7453759348290598,0.7977764423076923,0.7618356036324786,0.7695980235042735,0.7182992788461539,0.7632211538461539,0.7571781517094016,0.6093029299022104,0.6125248975450912,0.670487602222266,0.678230711444439,0.6815532009725309,0.6390314729278144,0.7370381627875964,0.6171810469563899,0.9927193125755104,0.9898845978041341,0.9910502161967025,0.9936320897938066,0.992612999777222,0.9897970109398151,0.9943712338845301,0.9955355173715721
musique-23,musique,oracle_b,8192,512,2,8199,513,52,8,8,1,0,16,0.8769865117521367,0.8407952724358974,0.8364549946581197,0.8155715811965812,0.7755742521367521,0.768997061965812,0.7582799145299145,0.7513020833333334,0.7455114608106471,0.7499251568621355,0.7596921151319949,0.7129382024582415,0.748599956742104,0.714936917528407,0.7528629739834486,0.6188381642801093,0.9954254804317773,0.9942894123677652,0.995615092314575,0.9947388319562707,0.992368307264987,0.9940668597656703,0.9941399570549749,0.9934472158526548
qasper-178,qasper,static,8192,512,1,8192,512,52,8,1,0,0,2,0.9547943376068376,0.8379740918803419,0.8410122863247863,0.8411959134615384,0.7699986645299145,0.826923076923077,0.7925347222222222,0.7948050213675214,0.7536560078087902,0.7953259157742518,0.7637159972292159,0.700678811492838,0.7075676291799975,0.7351445477024016,0.725164580663482,0.7026553938503137,0.980656085561153,0.870748669025186,0.8439870939804897,0.788412120099455,0.707236637225299,0.7401749267224352,0.7301948320714201,0.714896292314739
qasper-178,qasper,static,8192,512,2,8194,513,52,8,0,0,1,3,0.8942307692307693,0.8581396901709402,0.8775206997863249,0.866920405982906,0.8739316239316239,0.8785890758547008,0.8672041933760684,0.8519798344017094,0.7575920631786924,0.7924142799838044,0.8206244294107973,0.8039406762294051,0.8323171271529222,0.8437023665571243,0.7973613972845071,0.7407804552374117,0.9486832966989438,0.9238651670939758,0.9372602728418173,0.9235880022685006,0.9347672371640784,0.9351384842363168,0.9218421560282333,0.8966192783865101
qasper-178,qasper,static,8192,512,3,8195,513,52,8,5,0,0,9,0.8917601495726496,0.8494257478632479,0.8874365651709402,0.8189937232905984,0.883213141025641,0.8234007745726495,0.8824786324786325,0.8299612713675214,0.725319864359366,0.7264257754530818,0.7024305847496861,0.7020707805863501,0.7101386664205749,0.7098668512255009,0.7194730791300379,0.7081089110620193,0.9344917793875188,0.8939919780077332,0.9363878514178666,0.8677844865225182,0.9313136021432362,0.8716305888707911,0.9279714965609932,0.8785837219897671
qasper-178,qasper,static,8192,512,4,8201,513,52,7,0,0,1,10,0.8867855235042735,0.8512286324786325,0.8531817574786325,0.8539997329059829,0.823066907051282,0.8158219818376069,0.8067240918803419,,0.7457289593637941,0.7746345337811537,0.7774017115345486,0.7525530647379932,0.7705957417388001,0.7433729064152919,,0.7015140413221758,0.934618558804249,0.9336132874263264,0.9162216456100928,0.9039781193483767,0.8681724455666388,0.8587290108054259,0.8490221731444771,
qasper-178,qasper,static,8192,512,5,8202,513,52,6,6,0,0,16,0.9029113247863249,0.8548677884615384,0.8513287927350428,0.8197282318376069,0.8152877938034188,0.8321647970085471,,,0.7787594368135661,0.8110118976655376,0.7492906901653857,0.7198582775156056,0.7017672893083318,,,0.7589124605207527,0.921125061792019,0.898253376375258,0.8993238192115611,0.8424670586921476,0.8427055788131649,0.8730693166382169,,
qasper-178,qasper,oracle_b,8192,512,1,8192,512,52,8,2,0,0,3,0.9521567841880343,0.800247061965812,0.8680388621794872,0.8385416666666666,0.8430488782051282,0.7798978365384616,0.8310964209401709,0.8077423878205128,0.7131764503965564,0.7184258670094477,0.7629248894188514,0.7859219055290647,0.730705994742873,0.7285868757815857,0.7905814543987927,0.7129057556819469,0.9865309346355036,0.982716843098943,0.9837211625621328,0.9897732509830737,0.9820697999324683,0.9701234354941888,0.9869516478513142,0.9830677677240982
qasper-178,qasper,oracle_b,8192,512,2,8195,513,52,8,3,0,0,7,0.9227096688034189,0.8220819978632479,0.9041967147435899,0.8180088141025641,0.7869925213675214,0.8210470085470085,0.8385082799145299,0.8314469818376069,0.7253957395272911,0.7254149188221901,0.7243087138531427,0.743693541569638,0.7337404157876886,0.8118472035790997,0.8298992540138541,0.7328630091922783,0.9790557062063109,0.9805484279299276,0.9789620719162228,0.9830531197775058,0.9784076225587638,0.9846796005130335,0.9869588177831997,0.9844916041214226
qasper-178,qasper,oracle_b,8192,512,3,8199,513,52,8,2,0,0,10,0.8861010950854701,0.8844818376068376,0.8315805288461539,0.852363782051282,0.8715945512820513,0.8653512286324786,0.8502270299145299,0.8535990918803419,0.7355470027447341,0.7504540864204323,0.7437859425183969,0.8125180253778148,0.8374955824168615,0.8443010363362946,0.8335893089823407,0.73518242421646,0.9811085138695788,0.9826916890296885,0.9785132608856537,0.9848357542412796,0.9872368948866713,0.987730109444947,0.983618540476934,0.9844251695528826
qasper-178,qasper,oracle_b,8192,512,4,8202,513,52,6,6,0,0,16,0.8931290064102565,0.8756176549145299,0.8656684027777778,0.8385750534188035,0.8225661057692307,0.8513621794871794,,,0.7977494796040666,0.820598271998406,0.7623815291623968,0.747826592624256,0.7388330225397074,,,0.7746753159150337,0.9814115638562053,0.9832456657778482,0.9789763972873631,0.9783287931514015,0.9745552383471412,0.9816211435351655,,
