sample_id,dataset_name,method,input_length,round_id,round_start_length,round_start_pages,budget_pages,draft_length,accepted_length,all_accepted,zero_accepted,generated_tokens_so_far,probe_query_count,probe_endpoint_coverage_vs_per_query_attention_oracle,probe_best_static_coverage_vs_per_query_attention_oracle,probe_endpoint_fraction_of_eligible_attention,probe_best_static_fraction_of_eligible_attention,probe_best_static_absolute_coverage_gain,fixed_reference_recall_of_query_pages_pos_1,fixed_reference_recall_of_query_pages_pos_2,fixed_reference_recall_of_query_pages_pos_3,fixed_reference_recall_of_query_pages_pos_4,fixed_reference_recall_of_query_pages_pos_5,fixed_reference_recall_of_query_pages_pos_6,fixed_reference_recall_of_query_pages_pos_7,fixed_reference_recall_of_query_pages_pos_8,oracle_overlap_pos_1_2,oracle_overlap_pos_2_3,oracle_overlap_pos_3_4,oracle_overlap_pos_4_5,oracle_overlap_pos_5_6,oracle_overlap_pos_6_7,oracle_overlap_pos_7_8,oracle_overlap_pos_1_last,attention_recovery_pos_1,attention_recovery_pos_2,attention_recovery_pos_3,attention_recovery_pos_4,attention_recovery_pos_5,attention_recovery_pos_6,attention_recovery_pos_7,attention_recovery_pos_8
2wikimqa-83,2wikimqa,static,8192,1,8192,512,52,8,1,0,0,2,,,,,,,0.9483173076923078,0.7759915865384616,0.7344417735042735,0.7343583066239316,0.6813401442307693,0.6607238247863249,0.6694711538461539,0.6898370726495727,0.6473055808960644,0.6725604078241747,0.6126100842557402,0.5705135189928873,0.5816322680647513,0.7164157565289957,0.6635430311567421,0.5419629441077966,0.9892437892864923,0.8896878575350227,0.8349765466419405,0.7678214975197791,0.7297513735533543,0.7107652738602125,0.7190888871593875,0.7234378315202354
2wikimqa-83,2wikimqa,static,8192,2,8194,513,52,8,8,1,0,11,,,,,,,0.8466045673076923,0.7839877136752137,0.7724358974358974,0.7179654113247863,0.7834201388888888,0.7827190170940171,0.7810496794871794,0.7807992788461539,0.6287182072369218,0.6489132040372253,0.6253282297337788,0.6081933296679243,0.7101352477286369,0.7173445752633842,0.7127559160748,0.6107984626453262,0.9727067453581382,0.9582987840886796,0.9452161863090794,0.9016196396018636,0.9667973891867254,0.9693885415557768,0.9638040944081775,0.964716607432535
2wikimqa-83,2wikimqa,static,8192,3,8203,513,52,5,2,0,0,14,,,,,,,0.7801816239316239,0.713558360042735,0.7193175747863249,0.7117888621794872,0.7213374732905984,,,,0.5877518927751466,0.6477121460686056,0.6967975282216026,0.6265848462053998,,,,0.5825505221710838,0.9197294222749512,0.894166721003601,0.9041171179445817,0.9007011682746519,0.9087151312295282,,,
2wikimqa-83,2wikimqa,static,8192,4,8206,513,52,2,2,0,0,16,,,,,,,0.8702590811965812,0.7913327991452992,,,,,,,0.655970788093851,,,,,,,0.655970788093851,0.9770613242414979,0.9639142057336818,,,,,,
2wikimqa-83,2wikimqa,best_static_oracle,8192,1,8192,512,52,8,1,0,0,2,8,0.9671536387253783,0.9857644586934845,0.8690362573052447,0.8857590164232065,0.01672275911796184,0.7682959401709402,0.7479967948717949,0.7450253739316239,0.7579460470085471,0.7093349358974359,0.7081663995726495,0.6910890758547008,0.7015391292735043,0.6393391077703642,0.6600981820558177,0.603241216432404,0.5773813464033762,0.5752880275845179,0.5851316892859046,0.5843698993445945,0.5528263501004326,0.9802211040224663,0.8965070452126207,0.8457901467678312,0.7909925441149568,0.7644207073651463,0.6872297425341931,0.6736373480917659,0.6267826539268133
2wikimqa-83,2wikimqa,best_static_oracle,8192,2,8194,513,52,8,8,1,0,11,8,0.9700576483709102,0.9887828126607167,0.8835909510196291,0.9006470360374781,0.017056085017848943,0.7872596153846154,0.7932191506410257,0.8126335470085471,0.7748063568376069,0.8195446047008548,0.8051382211538461,0.8158052884615384,0.8084268162393162,0.6324640930581138,0.6483425307455613,0.6358731937041762,0.6132953902295825,0.7183477273247316,0.7221705110221509,0.7278586766245515,0.6159955786898356,0.975568739138504,0.9796970051849776,0.9822560369603625,0.9558356949002031,0.989401062074363,0.9888566588426472,0.9868621532415975,0.988534208299342
2wikimqa-83,2wikimqa,best_static_oracle,8192,3,8203,513,52,5,5,0,0,16,5,0.933301861079357,0.9877656537504543,0.8403781909442121,0.8894193270070552,0.049041136062843105,0.7685463408119658,0.7969083867521367,0.8014155982905984,0.7887787126068376,0.7934194711538461,,,,0.5840531005805707,0.6532668411865038,0.6326328032029319,0.6555783144704038,,,,0.5931364671417395,0.9737915884598318,0.9819133380460294,0.985188113373423,0.981123643321411,0.9863215018705606,,,
2wikimqa-83,2wikimqa,oracle_b,8192,1,8192,512,52,8,8,1,0,9,,,,,,,0.9467147435897435,0.7313868856837606,0.7515357905982906,0.7259448450854701,0.7192341079059829,0.6725928151709402,0.7183660523504273,0.7092180822649572,0.589022328219682,0.5897563935594206,0.628360891859375,0.6432402578938096,0.6338735959842096,0.6079026221124483,0.7130273671198896,0.5628553151711869,0.9917083501968903,0.9909969733021826,0.9904619917880115,0.9928784261787094,0.9899140187075375,0.985824810919095,0.9936793381714435,0.9948416571022144
2wikimqa-83,2wikimqa,oracle_b,8192,2,8201,513,52,7,7,0,0,16,,,,,,,0.8644664797008548,0.8103966346153846,0.7334067841880342,0.6909722222222222,0.7100694444444444,0.7060129540598291,0.7020065438034188,,0.7255390754263997,0.6372538479280604,0.5808354507535216,0.650353572967729,0.6264562921836652,0.6483051983606465,,0.548788897278556,0.994665205640805,0.9919393709803325,0.9876595724687766,0.9885850819273662,0.9882429528370211,0.9878818496812722,0.9900736905057956,
hotpotqa-141,hotpotqa,static,8192,1,8192,512,52,8,1,0,0,2,,,,,,,0.9406717414529915,0.7242254273504273,0.6309929220085471,0.6529280181623931,0.6243990384615384,0.6355836004273505,0.6066539797008548,0.5614316239316239,0.5778679546067279,0.5608351788837974,0.5278685046884437,0.5289672581038825,0.6388080469992645,0.5647356242215139,0.605901073771763,0.41350038523773247,0.9900625496201609,0.891721871929601,0.7876217686911962,0.7441378425528338,0.7494109954458608,0.7629652264187543,0.6825632823808649,0.6045280889402177
