accepted_length,oracle_incremental_r0.01_rounds,oracle_incremental_r0.01_ratio,oracle_incremental_r0.02_rounds,oracle_incremental_r0.02_ratio,oracle_incremental_r0.05_rounds,oracle_incremental_r0.05_ratio,oracle_incremental_r0.1_rounds,oracle_incremental_r0.1_ratio,oracle_incremental_r0.2_rounds,oracle_incremental_r0.2_ratio
0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07142857142857142
1,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07142857142857142
2,2,0.16666666666666666,2,0.16666666666666666,2,0.16666666666666666,3,0.23076923076923078,2,0.14285714285714285
3,1,0.08333333333333333,1,0.08333333333333333,1,0.08333333333333333,1,0.07692307692307693,1,0.07142857142857142
4,0,0.0,0,0.0,0,0.0,1,0.07692307692307693,1,0.07142857142857142
5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,1,0.08333333333333333,1,0.08333333333333333,1,0.08333333333333333,1,0.07692307692307693,1,0.07142857142857142
7,4,0.3333333333333333,4,0.3333333333333333,4,0.3333333333333333,3,0.23076923076923078,3,0.21428571428571427
8,4,0.3333333333333333,4,0.3333333333333333,4,0.3333333333333333,4,0.3076923076923077,4,0.2857142857142857
