ranker,budget_ratio,frontier_page_ratio,draft_offset,num_rows,num_samples,candidate_recall_of_full_query_pages,restricted_page_recall_vs_full_query,attention_recovery_vs_full_query,attention_recovery_vs_oracle,full_query_recovery_vs_oracle,candidate_oracle_upper_bound_recovery,near_full_query_mass_rate,near_full_query_joint_rate
post_rope_endpoint_mean,0.1,0.01,1,16800,21,0.8530357150627034,0.8530357150627034,0.950412469774513,0.9134950299395485,0.9640899411912597,0.9345198427899282,0.8279166666666666,0.747202380952381
post_rope_endpoint_mean,0.1,0.01,2,16800,21,0.833640873856133,0.833640873856133,0.9457665918688539,0.907450458320788,0.9632677930966982,0.9280758565000244,0.7999404761904761,0.7099404761904762
post_rope_endpoint_mean,0.1,0.01,3,16800,21,0.8198412707448006,0.8198412707448006,0.9432558679982097,0.9034907316783679,0.9617649870703824,0.9249480836262978,0.7841071428571429,0.6852380952380952
post_rope_endpoint_mean,0.1,0.01,4,16800,21,0.8115575406203668,0.8115575406203668,0.9425143915535221,0.9030730860051642,0.9620474899605929,0.9232073953057487,0.7760119047619047,0.6698809523809524
post_rope_endpoint_mean,0.1,0.01,5,16800,21,0.80623015966089,0.80623015966089,0.9401659396144387,0.9015883976413043,0.9627760756917166,0.9212433016431155,0.7740476190476191,0.6604761904761904
post_rope_endpoint_mean,0.1,0.01,6,16800,21,0.7974107152330024,0.7974107152330024,0.9370074955579527,0.8988924382672306,0.9623024345629233,0.9186139664959027,0.7598214285714285,0.645952380952381
post_rope_endpoint_mean,0.1,0.01,7,16800,21,0.7908829374841991,0.7908829374841991,0.936664679730734,0.8991410525995631,0.9635957309131382,0.9177240787175358,0.7538095238095238,0.6344047619047619
post_rope_endpoint_mean,0.1,0.01,8,16800,21,0.7844742073597653,0.7844742073597653,0.9349473341171056,0.8980683332272399,0.9639410834091207,0.9157766001339578,0.7457142857142857,0.6213690476190477
post_rope_endpoint_mean,0.1,0.02,1,16800,21,0.8530357150627034,0.8530357150627034,0.950412469774513,0.9134950299395485,0.9640899411912597,0.9345198427899282,0.8279166666666666,0.747202380952381
post_rope_endpoint_mean,0.1,0.02,2,16800,21,0.833640873856133,0.833640873856133,0.9457665918688539,0.907450458320788,0.9632677930966982,0.9280758565000244,0.7999404761904761,0.7099404761904762
post_rope_endpoint_mean,0.1,0.02,3,16800,21,0.8198412707448006,0.8198412707448006,0.9432558679982097,0.9034907316783679,0.9617649870703824,0.9249480836262978,0.7841071428571429,0.6852380952380952
post_rope_endpoint_mean,0.1,0.02,4,16800,21,0.8115575406203668,0.8115575406203668,0.9425143915535221,0.9030730860051642,0.9620474899605929,0.9232073953057487,0.7760119047619047,0.6698809523809524
