ranker,budget_ratio,frontier_page_ratio,dataset_name,num_rows,num_samples,candidate_recall_of_full_query_pages,restricted_page_recall_vs_full_query,attention_recovery_vs_full_query,attention_recovery_vs_oracle,full_query_recovery_vs_oracle,candidate_oracle_upper_bound_recovery,near_full_query_mass_rate,near_full_query_joint_rate
post_rope_endpoint_mean,0.1,0.01,aime2024,26880,5,0.7976190485248696,0.7976190485248696,0.9346248418625863,0.8987953781519249,0.9649607391756287,0.9156642072638324,0.7587053571428571,0.6467633928571429
post_rope_endpoint_mean,0.1,0.01,gsm8k,53760,8,0.8091734879960616,0.8091734879960616,0.9410253575036724,0.9035589258263983,0.9633025687459654,0.9229203203795321,0.7734747023809524,0.6646205357142857
post_rope_endpoint_mean,0.1,0.01,math500,53760,8,0.8223524314983349,0.8223524314983349,0.945016837257325,0.9049182374973912,0.9616500416336676,0.9267816776174613,0.7913504464285714,0.6915178571428572
post_rope_endpoint_mean,0.1,0.02,aime2024,26880,5,0.7976190485248696,0.7976190485248696,0.9346248418625863,0.8987953781519249,0.9649607391756287,0.9156642072638324,0.7587053571428571,0.6467633928571429
post_rope_endpoint_mean,0.1,0.02,gsm8k,53760,8,0.8091734879960616,0.8091734879960616,0.9410253575036724,0.9035589258263983,0.9633025687459654,0.9229203203795321,0.7734747023809524,0.6646205357142857
post_rope_endpoint_mean,0.1,0.02,math500,53760,8,0.8223524314983349,0.8223524314983349,0.945016837257325,0.9049182374973912,0.9616500416336676,0.9267816776174613,0.7913504464285714,0.6915178571428572
post_rope_endpoint_mean,0.1,0.05,aime2024,26880,5,0.8022941475800638,0.8022941475800638,0.9362678774990992,0.9003943704955489,0.9649607391756287,0.9176318286099993,0.7662202380952381,0.6565104166666667
post_rope_endpoint_mean,0.1,0.05,gsm8k,53760,8,0.8138733886237745,0.8138733886237745,0.9426502396858973,0.9051402553065739,0.9633025687459654,0.9248752958586222,0.7814546130952381,0.6748883928571429
post_rope_endpoint_mean,0.1,0.05,math500,53760,8,0.8276537706110892,0.8276537706110892,0.9470692418342874,0.9069219335917004,0.9616500416336676,0.9292208715602991,0.7996651785714286,0.7026227678571428
pre_rope_future_corrected_endpoint_mean,0.1,0.01,aime2024,26880,5,0.7898065484904995,0.7898065484904995,0.9222631960185653,0.8872299170189619,0.9649607391756287,0.9034400956542441,0.7410342261904762,0.6363839285714286
pre_rope_future_corrected_endpoint_mean,0.1,0.01,gsm8k,53760,8,0.8015625009374205,0.8015625009374205,0.9328494032785704,0.8958798399359829,0.9633025687459654,0.9137991655065656,0.7571614583333334,0.6516183035714286
