sample_id,dataset_name,method,input_length,initial_kv_pages,speculative_rounds,total_generated_tokens,total_accepted_draft_tokens,mean_accepted_length,full_accept_rounds,zero_accept_rounds,delta_vs_static,gap_to_oracle_b,fraction_of_oracle_b_gain_closed
hotpotqa-63,hotpotqa,best_static_oracle,8192,512,11,64,54,4.909090909090909,4,0,0.9090909090909092,1.3131313131313131,0.4090909090909091
hotpotqa-63,hotpotqa,oracle_b,8192,512,9,64,56,6.222222222222222,5,0,2.2222222222222223,0.0,1.0
hotpotqa-93,hotpotqa,static,8192,512,9,64,55,6.111111111111111,4,0,0.0,1.0138888888888893,0.0
hotpotqa-93,hotpotqa,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,0.1111111111111116,0.9027777777777777,0.10958904109589085
hotpotqa-93,hotpotqa,oracle_b,8192,512,8,64,57,7.125,6,0,1.0138888888888893,0.0,1.0
hotpotqa-96,hotpotqa,static,8192,512,12,64,53,4.416666666666667,3,0,0.0,1.8055555555555554,0.0
hotpotqa-96,hotpotqa,best_static_oracle,8192,512,10,64,55,5.5,3,0,1.083333333333333,0.7222222222222223,0.5999999999999999
hotpotqa-96,hotpotqa,oracle_b,8192,512,9,64,56,6.222222222222222,5,0,1.8055555555555554,0.0,1.0
multifieldqa_en-11,multifieldqa_en,static,8192,512,12,64,53,4.416666666666667,2,1,0.0,1.083333333333333,0.0
multifieldqa_en-11,multifieldqa_en,best_static_oracle,8192,512,10,64,55,5.5,4,0,1.083333333333333,0.0,1.0
multifieldqa_en-11,multifieldqa_en,oracle_b,8192,512,10,64,55,5.5,5,1,1.083333333333333,0.0,1.0
multifieldqa_en-114,multifieldqa_en,static,8192,512,13,64,52,4,3,0,0,1.5,0.0
multifieldqa_en-114,multifieldqa_en,best_static_oracle,8192,512,12,64,53,4.416666666666667,4,0,0.41666666666666696,1.083333333333333,0.27777777777777796
multifieldqa_en-114,multifieldqa_en,oracle_b,8192,512,10,64,55,5.5,6,0,1.5,0.0,1.0
multifieldqa_en-125,multifieldqa_en,static,8192,512,9,64,56,6.222222222222222,4,0,0.0,0.9027777777777777,0.0
multifieldqa_en-125,multifieldqa_en,best_static_oracle,8192,512,10,64,55,5.5,4,0,-0.7222222222222223,1.625,-0.8000000000000002
multifieldqa_en-125,multifieldqa_en,oracle_b,8192,512,8,64,57,7.125,7,0,0.9027777777777777,0.0,1.0
multifieldqa_en-18,multifieldqa_en,static,8192,512,13,64,52,4,2,0,0,2.2222222222222223,0.0
multifieldqa_en-18,multifieldqa_en,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,2.2222222222222223,0.0,1.0
multifieldqa_en-18,multifieldqa_en,oracle_b,8192,512,9,64,56,6.222222222222222,5,0,2.2222222222222223,0.0,1.0
multifieldqa_en-27,multifieldqa_en,static,8192,512,14,64,51,3.642857142857143,1,1,0.0,3.357142857142857,0.0
multifieldqa_en-27,multifieldqa_en,best_static_oracle,8192,512,11,64,53,4.818181818181818,3,1,1.1753246753246755,2.1818181818181817,0.3500967117988395
multifieldqa_en-27,multifieldqa_en,oracle_b,8192,512,8,64,56,7,5,0,3.357142857142857,0,1.0
multifieldqa_en-37,multifieldqa_en,static,8192,512,13,64,52,4,3,1,0,2.2222222222222223,0.0
multifieldqa_en-37,multifieldqa_en,best_static_oracle,8192,512,12,64,53,4.416666666666667,3,1,0.41666666666666696,1.8055555555555554,0.1875000000000001
multifieldqa_en-37,multifieldqa_en,oracle_b,8192,512,9,64,56,6.222222222222222,5,0,2.2222222222222223,0.0,1.0
multifieldqa_en-51,multifieldqa_en,static,8192,512,9,64,56,6.222222222222222,3,0,0.0,0.9027777777777777,0.0
multifieldqa_en-51,multifieldqa_en,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,0.0,0.9027777777777777,0.0
multifieldqa_en-51,multifieldqa_en,oracle_b,8192,512,8,64,57,7.125,6,0,0.9027777777777777,0.0,1.0
multifieldqa_en-52,multifieldqa_en,static,8192,512,9,64,56,6.222222222222222,4,0,0.0,0.0,0.0
multifieldqa_en-52,multifieldqa_en,best_static_oracle,8192,512,11,64,54,4.909090909090909,3,0,-1.3131313131313131,1.3131313131313131,0.0
multifieldqa_en-52,multifieldqa_en,oracle_b,8192,512,9,64,56,6.222222222222222,4,0,0.0,0.0,0.0
multifieldqa_en-67,multifieldqa_en,static,8192,512,15,64,50,3.3333333333333335,2,2,0.0,1.5757575757575757,0.0
multifieldqa_en-67,multifieldqa_en,best_static_oracle,8192,512,13,64,52,4,4,1,0.6666666666666665,0.9090909090909092,0.423076923076923
multifieldqa_en-67,multifieldqa_en,oracle_b,8192,512,11,64,54,4.909090909090909,4,1,1.5757575757575757,0.0,1.0
multifieldqa_en-99,multifieldqa_en,static,8192,512,10,64,55,5.5,2,0,0.0,0.7222222222222223,0.0
multifieldqa_en-99,multifieldqa_en,best_static_oracle,8192,512,10,64,55,5.5,3,0,0.0,0.7222222222222223,0.0
multifieldqa_en-99,multifieldqa_en,oracle_b,8192,512,9,64,56,6.222222222222222,5,0,0.7222222222222223,0.0,1.0
musique-100,musique,static,8192,512,11,64,54,4.909090909090909,3,0,0.0,2.090909090909091,0.0
musique-100,musique,best_static_oracle,8192,512,11,64,54,4.909090909090909,4,1,0.0,2.090909090909091,0.0
musique-100,musique,oracle_b,8192,512,8,64,56,7,5,0,2.090909090909091,0,1.0
musique-148,musique,static,8192,512,11,64,53,4.818181818181818,3,1,0.0,1.2929292929292924,0.0
musique-148,musique,best_static_oracle,8192,512,10,64,54,5.4,4,0,0.581818181818182,0.7111111111111104,0.45000000000000034
musique-148,musique,oracle_b,8192,512,9,64,55,6.111111111111111,6,1,1.2929292929292924,0.0,1.0
musique-163,musique,static,8192,512,10,64,55,5.5,4,0,0.0,1.625,0.0
musique-163,musique,best_static_oracle,8192,512,10,64,55,5.5,4,0,0.0,1.625,0.0
musique-163,musique,oracle_b,8192,512,8,64,57,7.125,6,0,1.625,0.0,1.0
musique-194,musique,static,8192,512,10,64,54,5.4,3,1,0.0,0.7111111111111104,0.0
musique-194,musique,best_static_oracle,8192,512,10,64,54,5.4,2,0,0.0,0.7111111111111104,0.0
musique-194,musique,oracle_b,8192,512,9,64,55,6.111111111111111,5,1,0.7111111111111104,0.0,1.0
musique-23,musique,static,8192,512,13,64,52,4,3,0,0,2.2222222222222223,0.0
musique-23,musique,best_static_oracle,8192,512,11,64,54,4.909090909090909,5,1,0.9090909090909092,1.3131313131313131,0.4090909090909091
musique-23,musique,oracle_b,8192,512,9,64,56,6.222222222222222,6,0,2.2222222222222223,0.0,1.0
musique-24,musique,static,8192,512,13,64,52,4,1,1,0,3.125,0.0
musique-24,musique,best_static_oracle,8192,512,11,64,54,4.909090909090909,3,0,0.9090909090909092,2.215909090909091,0.29090909090909095
musique-24,musique,oracle_b,8192,512,8,64,57,7.125,6,0,3.125,0.0,1.0
musique-41,musique,static,8192,512,11,64,54,4.909090909090909,4,0,0.0,2.215909090909091,0.0
musique-41,musique,best_static_oracle,8192,512,10,64,55,5.5,4,1,0.5909090909090908,1.625,0.26666666666666666
musique-41,musique,oracle_b,8192,512,8,64,57,7.125,6,0,2.215909090909091,0.0,1.0
musique-74,musique,static,8192,512,10,64,55,5.5,3,0,0.0,1.625,0.0
musique-74,musique,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,0.7222222222222223,0.9027777777777777,0.44444444444444453
musique-74,musique,oracle_b,8192,512,8,64,57,7.125,7,0,1.625,0.0,1.0
musique-76,musique,static,8192,512,11,64,54,4.909090909090909,4,0,0.0,1.3131313131313131,0.0
musique-76,musique,best_static_oracle,8192,512,12,64,53,4.416666666666667,3,0,-0.4924242424242422,1.8055555555555554,-0.37499999999999983
musique-76,musique,oracle_b,8192,512,9,64,56,6.222222222222222,5,0,1.3131313131313131,0.0,1.0
musique-85,musique,static,8192,512,11,64,54,4.909090909090909,2,0,0.0,2.215909090909091,0.0
musique-85,musique,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,1.3131313131313131,0.9027777777777777,0.5925925925925927
musique-85,musique,oracle_b,8192,512,8,64,57,7.125,6,0,2.215909090909091,0.0,1.0
qasper-118,qasper,static,8192,512,13,64,52,4,2,1,0,3.125,0.0
qasper-118,qasper,best_static_oracle,8192,512,9,64,56,6.222222222222222,3,0,2.2222222222222223,0.9027777777777777,0.7111111111111111
qasper-118,qasper,oracle_b,8192,512,8,64,57,7.125,6,0,3.125,0.0,1.0
qasper-13,qasper,static,8192,512,10,64,55,5.5,4,0,0.0,1.625,0.0
qasper-13,qasper,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,0.7222222222222223,0.9027777777777777,0.44444444444444453
qasper-13,qasper,oracle_b,8192,512,8,64,57,7.125,7,0,1.625,0.0,1.0
qasper-15,qasper,static,8192,512,12,64,53,4.416666666666667,1,0,0.0,1.8055555555555554,0.0
qasper-15,qasper,best_static_oracle,8192,512,10,64,55,5.5,3,0,1.083333333333333,0.7222222222222223,0.5999999999999999
qasper-15,qasper,oracle_b,8192,512,9,64,56,6.222222222222222,5,0,1.8055555555555554,0.0,1.0
qasper-16,qasper,static,8192,512,12,64,53,4.416666666666667,3,1,0.0,2.708333333333333,0.0
qasper-16,qasper,best_static_oracle,8192,512,12,64,53,4.416666666666667,2,0,0.0,2.708333333333333,0.0
qasper-16,qasper,oracle_b,8192,512,8,64,57,7.125,4,0,2.708333333333333,0.0,1.0
qasper-178,qasper,static,8192,512,15,64,50,3.3333333333333335,2,2,0.0,2.1666666666666665,0.0
qasper-178,qasper,best_static_oracle,8192,512,10,64,55,5.5,3,1,2.1666666666666665,0.0,1.0
qasper-178,qasper,oracle_b,8192,512,10,64,55,5.5,5,0,2.1666666666666665,0.0,1.0
qasper-27,qasper,static,8192,512,12,64,53,4.416666666666667,4,0,0.0,1.8055555555555554,0.0
qasper-27,qasper,best_static_oracle,8192,512,10,64,54,5.4,4,0,0.9833333333333334,0.822222222222222,0.5446153846153847
qasper-27,qasper,oracle_b,8192,512,9,64,56,6.222222222222222,6,0,1.8055555555555554,0.0,1.0
qasper-35,qasper,static,8192,512,10,64,55,5.5,4,0,0.0,0.7222222222222223,0.0
qasper-35,qasper,best_static_oracle,8192,512,10,64,55,5.5,4,1,0.0,0.7222222222222223,0.0
qasper-35,qasper,oracle_b,8192,512,9,64,56,6.222222222222222,5,0,0.7222222222222223,0.0,1.0
qasper-57,qasper,static,8192,512,10,64,55,5.5,4,0,0.0,1.625,0.0
qasper-57,qasper,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,0.7222222222222223,0.9027777777777777,0.44444444444444453
qasper-57,qasper,oracle_b,8192,512,8,64,57,7.125,5,0,1.625,0.0,1.0
qasper-67,qasper,static,8192,512,10,64,55,5.5,4,0,0.0,1.625,0.0
qasper-67,qasper,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,0.7222222222222223,0.9027777777777777,0.44444444444444453
qasper-67,qasper,oracle_b,8192,512,8,64,57,7.125,7,0,1.625,0.0,1.0
qasper-73,qasper,static,8192,512,11,64,54,4.909090909090909,4,0,0.0,2.215909090909091,0.0
qasper-73,qasper,best_static_oracle,8192,512,10,64,55,5.5,4,0,0.5909090909090908,1.625,0.26666666666666666
qasper-73,qasper,oracle_b,8192,512,8,64,57,7.125,7,0,2.215909090909091,0.0,1.0
