sample_id,dataset_name,method,input_length,round_id,round_start_length,round_start_pages,budget_pages,draft_length,accepted_length,all_accepted,zero_accepted,generated_tokens_so_far,probe_query_count,probe_endpoint_coverage_vs_per_query_attention_oracle,probe_best_static_coverage_vs_per_query_attention_oracle,probe_endpoint_fraction_of_eligible_attention,probe_best_static_fraction_of_eligible_attention,probe_best_static_absolute_coverage_gain,fixed_reference_recall_of_query_pages_pos_1,fixed_reference_recall_of_query_pages_pos_2,fixed_reference_recall_of_query_pages_pos_3,fixed_reference_recall_of_query_pages_pos_4,fixed_reference_recall_of_query_pages_pos_5,fixed_reference_recall_of_query_pages_pos_6,fixed_reference_recall_of_query_pages_pos_7,fixed_reference_recall_of_query_pages_pos_8,oracle_overlap_pos_1_2,oracle_overlap_pos_2_3,oracle_overlap_pos_3_4,oracle_overlap_pos_4_5,oracle_overlap_pos_5_6,oracle_overlap_pos_6_7,oracle_overlap_pos_7_8,oracle_overlap_pos_1_last,attention_recovery_pos_1,attention_recovery_pos_2,attention_recovery_pos_3,attention_recovery_pos_4,attention_recovery_pos_5,attention_recovery_pos_6,attention_recovery_pos_7,attention_recovery_pos_8
2wikimqa-145,2wikimqa,static,8192,1,8192,512,52,8,1,0,0,2,,,,,,,0.9482672275641026,0.7424045138888888,0.6892694978632479,0.7127570779914529,0.6510416666666666,0.6459835737179487,0.7115217681623931,0.6521434294871794,0.6053498778970297,0.6121395344375525,0.5599944128233321,0.5639525168988229,0.5743350800586569,0.5365041746559557,0.5802523497640888,0.5051293892680347,0.9908824449625181,0.878059108092876,0.8021516445757808,0.7488567037703379,0.7354651285178591,0.724890241194245,0.6635183939915058,0.6608203621238198
2wikimqa-145,2wikimqa,static,8192,2,8194,513,52,8,8,1,0,11,,,,,,,0.8412293002136751,0.7655916132478633,0.7552918002136751,0.6663828792735043,0.7629540598290598,0.7638555021367521,0.7435730502136751,0.7485643696581197,0.6052264032213315,0.6367473992456985,0.59427538685576,0.563136602359333,0.6972903146488735,0.6804842981268932,0.6967002732918521,0.5741012776947436,0.9756415284145759,0.9603142159254205,0.947557835270337,0.8521710567602899,0.9676653820117127,0.9699947474591344,0.9468038473303552,0.9589834707735166
2wikimqa-145,2wikimqa,static,8192,3,8203,513,52,8,6,0,0,18,,,,,,,0.8451021634615384,0.8250534188034188,0.8069744925213675,0.8019998664529915,0.7597990117521367,0.7158787393162394,0.7089176014957265,0.7105869391025641,0.690388806697879,0.7383349609218524,0.7210263800218435,0.6914212027949144,0.6671374523049449,0.5960101470688479,0.6669356948653432,0.5862856217724107,0.9734083518522034,0.9788193049876024,0.9761576058528669,0.9765476856534823,0.9529517677597258,0.9174845647707522,0.847027199774407,0.8130841951728035
2wikimqa-145,2wikimqa,static,8192,4,8210,514,52,8,8,1,0,27,,,,,,,0.7853565705128206,0.7447081997863249,0.7514022435897436,0.755458733974359,0.7177650908119658,0.7582966079059829,0.7252437232905984,0.754306891025641,0.6831774722030135,0.6395953187214733,0.6451311829948853,0.5976960494035168,0.6071909382758702,0.6487485352218438,0.6428540702360508,0.6000917791596496,0.9373401021717902,0.9099261540426556,0.9299138229459987,0.9276985533419531,0.888399596680076,0.9306865728286307,0.8993933031866559,0.935826768769538
2wikimqa-145,2wikimqa,static,8192,5,8219,514,52,8,6,0,0,34,,,,,,,0.8570546207264957,0.7949051816239316,0.786575186965812,0.7560263087606838,0.7585303151709402,0.7477463942307693,0.7327724358974359,0.7202190170940171,0.6769388809131608,0.700140501934121,0.6281990058995662,0.6790839155530783,0.6364026408254898,0.6379550742668575,0.7446198565051555,0.541123590956913,0.9797899367814811,0.9668364670179795,0.9607188367194655,0.9359780653638481,0.940683678820121,0.9257726840862226,0.8695899232121311,0.8282938498883633
2wikimqa-145,2wikimqa,static,8192,6,8226,515,52,8,8,1,0,43,,,,,,,0.8414797008547008,0.8008814102564102,0.763137686965812,0.7672275641025641,0.7508179754273505,0.7583133012820513,0.7875434027777778,0.78125,0.7342318730849532,0.6675517178262579,0.7001408417304399,0.6856389430559061,0.6549338348890894,0.6285457527057372,0.6756456350349744,0.5838808582085548,0.9640858919058881,0.9540788849636704,0.9387372563567662,0.9401712437911218,0.9317099216684043,0.9283929732311075,0.9618189424270955,0.9589184522269011
2wikimqa-145,2wikimqa,static,8192,7,8235,515,52,8,6,0,0,50,,,,,,,0.8447682959401709,0.7823851495726495,0.7594150641025641,0.736862313034188,0.7661258012820513,0.7292000534188035,0.712089342948718,0.6711571848290598,0.6810449410059303,0.6313172439673446,0.6866799492786889,0.640705868899377,0.6306010044531631,0.6722927662328906,0.6097650474203014,0.5294739485421949,0.9765851953053528,0.9617785477771805,0.9650265237292207,0.9627739439781061,0.962877230157726,0.9559306736452715,0.8972446956993169,0.7888455786402706
2wikimqa-145,2wikimqa,static,8192,8,8242,516,52,8,8,1,0,59,,,,,,,0.8705428685897436,0.8163561698717949,0.842598157051282,0.8169237446581197,0.8106136485042735,0.8020332532051282,0.7905982905982906,0.8151542467948718,0.7119960941570408,0.741223025077311,0.7315764464240121,0.6729178243640731,0.6661418387664207,0.6884027560686912,0.6838936390524044,0.6697363041098369,0.9857290797903091,0.9812544991755102,0.982861946175979,0.9749706605115688,0.9616649165455604,0.9622009125409241,0.944140222064925,0.961711727362976
2wikimqa-145,2wikimqa,static,8192,9,8251,516,52,5,3,0,0,63,,,,,,,0.8750333867521367,0.8436164529914529,0.8245192307692307,0.7814670138888888,0.7348257211538461,,,,0.6929990974792382,0.7271835918081977,0.7074579602813205,0.6782728211035192,,,,0.5863148541050761,0.9859787324941591,0.9845762973971746,0.979450277614726,0.9562055045975991,0.9231378424925373,,,
2wikimqa-145,2wikimqa,static,8192,10,8255,516,52,1,1,0,0,64,,,,,,,0.8458366720085471,,,,,,,,,,,,,,,,0.9759580275266525,,,,,,,
